ID,Plaintext Name,Horizons Name,RA (deg),DEC,RA (hours),RA (solsys),DEC (solsys),Solar System Flag
760,XRT 000519,,186.381667,13.066389,12.425444466666667,,,0.0
473,NGC 4395,,186.45375,33.546944,12.430250000000001,,,0.0
763,M86 tULX-1,,186.509583,12.9975,12.4339722,,,0.0
506,Virgo cluster,,186.63375,12.723333,12.44225,,,0.0
401,NGC 4431,,186.864167,12.290278,12.457611133333334,,,0.0
81,K2-229,,186.873333,-6.721944,12.4582222,,,0.0
485,3C 273,,187.277917,2.0525,12.485194466666666,,,0.0
313,RZ 2109 ULX,,187.415417,7.891944,12.494361133333333,,,0.0
452,IC 3418,,187.432917,11.404722,12.4955278,,,0.0
441,VCC 1287,,187.599167,13.982222,12.506611133333333,,,0.0
672,HVGC-1,,187.727917,12.683056,12.515194466666665,,,0.0
167,gamma Cru,,187.791667,-57.113333,12.519444466666666,,,0.0
737,3FGL J1231.6-5113,,187.902083,-51.221111,12.526805533333334,,,0.0
443,HI 1232+20,,188.0,20.416667,12.533333333333333,,,0.0
782,NGC 4502,,188.014167,16.687778,12.5342778,,,0.0
634,AGC 229385,,188.042917,20.423333,12.536194466666666,,,0.0
292,AM CVn,,188.7275,37.628889,12.581833333333332,,,0.0
456,M91,,188.86,14.496389,12.590666666666667,,,0.0
397,NGC 4546 UCD-1,,188.869583,-3.789167,12.591305533333333,,,0.0
631,GN-z11,,189.10625,62.241944,12.607083333333332,,,0.0
440,Malin 1,,189.247083,14.330278,12.6164722,,,0.0
392,M59,,190.509583,11.646944,12.700638866666667,,,0.0
420,NGC 4631,,190.533333,32.541389,12.7022222,,,0.0
626,M59-UCD3,,190.545833,11.644722,12.703055533333332,,,0.0
455,NGC 4622,,190.656667,-40.744167,12.710444466666667,,,0.0
391,NGC 4636,,190.707917,2.687778,12.713861133333333,,,0.0
648,M60-UCD1,,190.9,11.534722,12.726666666666667,,,0.0
710,AQ CVn,,190.92375,32.357778,12.728250000000001,,,0.0
327,HW Vir,,191.084167,-8.671389,12.738944466666668,,,0.0
616,Boomerang nebula,,191.192083,-54.520278,12.746138866666666,,,0.0
445,NGC 4650A,,191.204167,-40.714444,12.746944466666667,,,0.0
263,Ton 124,,191.398333,42.640278,12.759888866666667,,,0.0
474,NGC 4686,,191.665833,54.534167,12.7777222,,,0.0
783,NGC 4698,,192.095417,8.4875,12.806361133333333,,,0.0
762,CXOU J124839.0-054750,,192.1625,-5.797222,12.810833333333333,,,0.0
115,HATS-17,,192.189583,-47.613611,12.812638866666667,,,0.0
417,NGC 4701,,192.298333,3.388611,12.819888866666668,,,0.0
726,ZTF19abanrhr,,192.42625,34.824722,12.828416666666667,,,0.0
6,3628 Boznemcova,3628 Boznemcova (1979 WD),192.45509,-1.6345,12.830339333333335,,,1.0
780,TYC 6111-1162-1,,192.726667,-16.868056,12.848444466666667,,,0.0
784,IC 3877,,193.702917,19.178333,12.9135278,,,0.0
514,1253+275,,193.75,27.2,12.916666666666666,,,0.0
205,alpha 2 CVn,,194.007083,38.318333,12.933805533333333,,,0.0
490,3C 279,,194.046667,-5.789444,12.936444466666668,,,0.0
458,M64,,194.182083,21.682778,12.945472200000001,,,0.0
512,Coma C,,194.825,27.783333,12.988333333333333,,,0.0
625,LEDA 088678,,194.84375,-4.196111,12.989583333333334,,,0.0
507,Coma cluster,,194.952917,27.980556,12.996861133333335,,,0.0
94,PSR B1257+12,,195.012917,12.681944,13.000861133333332,,,0.0
153,78 UMa,,195.182083,56.366389,13.012138866666668,,,0.0
185,epsilon Vir,,195.544167,10.959167,13.036277799999999,,,0.0
502,UGCA 319/320,,195.679167,-17.319444,13.045277800000001,,,0.0
318,PSR B1259-63,,195.69875,-63.835833,13.046583333333333,,,0.0
721,DDE 168,,196.310833,-49.316389,13.087388866666666,,,0.0
663,Shapley supercluster,,196.5,-33.066667,13.1,,,0.0
518,ISS,International Space Station  (-125544),197.43958,-9.32604,13.162638666666668,,,1.0
333,RS CVn,,197.65375,35.935,13.176916666666667,,,0.0
640,A1689B11,,197.88875,-1.351944,13.192583333333333,,,0.0
464,NGC 5101,,200.4425,-27.430556,13.362833333333333,,,0.0
612,Kim 3,,200.688333,-30.601111,13.3792222,,,0.0
155,Alcor,,201.30625,54.988056,13.420416666666666,,,0.0
479,Cen A,,201.365,-43.019167,13.424333333333333,,,0.0
432,POX 186,,201.4525,-11.610556,13.430166666666667,,,0.0
804,HD 117043,,201.499583,63.261389,13.433305533333334,,,0.0
348,Cen A outer filament,,201.617083,-42.834944,13.441138866666668,,,0.0
344,omega Cen,,201.697083,-47.479444,13.446472199999999,,,0.0
412,NGC 5173,,202.105417,46.591667,13.473694466666666,,,0.0
99,136472 Makemake,136472 Makemake (2005 FY9),202.28917,20.51338,13.485944666666667,,,1.0
649,J1329+3234,,202.385,32.571389,13.492333333333333,,,0.0
453,M51a,,202.469583,47.195278,13.4979722,,,0.0
447,M51a/b,,202.469583,47.195278,13.4979722,,,0.0
232,FK Com,,202.695,24.232778,13.513,,,0.0
483,3C 286,,202.784583,30.509167,13.5189722,,,0.0
285,UX UMa,,204.170833,51.913611,13.611388866666665,,,0.0
812,OT 060420,,205.0,-11.666667,13.666666666666666,,,0.0
650,J1342+0928,,205.53375,9.477222,13.70225,,,0.0
11,233 Asterope,233 Asterope (A883 JA),206.5556,-16.00954,13.770373333333334,,,1.0
66,L5 Kordylewsky cloud,EM-L5,206.67744,-16.07352,13.778495999999999,,,1.0
534,Earth-Moon L5,EM-L5,206.68833,-16.07641,13.779222,,,1.0
159,eta UMa,,206.885,49.313333,13.792333333333334,,,0.0
749,FRB 190523,,207.065,72.469722,13.804333333333334,,,0.0
683,2MASS J13535604+4437076,,208.48375,44.618889,13.898916666666667,,,0.0
214,HD 122563,,210.6325,9.686111,14.042166666666667,,,0.0
414,M101,,210.8025,54.348889,14.053500000000001,,,0.0
311,M101 ULX-1,,210.885,54.350833,14.059,,,0.0
223,V361 Hya,,211.3875,-27.026111,14.0925,,,0.0
249,GD 492,,211.6475,74.316111,14.109833333333334,,,0.0
545,1SWASP J140752.03-394415.1,,211.966667,-39.7375,14.131111133333333,,,0.0
405,IC 976,,212.180417,-1.161667,14.145361133333333,,,0.0
637,IRAS 14070+0525,,212.377917,5.191944,14.1585278,,,0.0
228,CU Vir,,213.065833,2.409444,14.204388866666667,,,0.0
111,HATS-P-26,,213.15625,4.06,14.210416666666667,,,0.0
234,HD 124448,,213.744167,-46.288611,14.249611133333334,,,0.0
169,Arcturus,,213.915417,19.1825,14.261027799999999,,,0.0
487,Cloverleaf quasar,,213.9425,11.495278,14.262833333333333,,,0.0
207,lambda Boo,,214.095833,46.088333,14.273055533333332,,,0.0
320,PSR J1417-4402,,214.3775,-44.049167,14.291833333333333,,,0.0
22,(469219) Kamo'oalewa,469219 Kamo`oalewa (2016 HO3),214.64029,47.41677,14.309352666666665,,,1.0
746,FIRST J141918.9+394036,,214.82875,39.676667,14.321916666666668,,,0.0
653,J1420-0545,,215.099167,-5.757778,14.339944466666667,,,0.0
84,Proxima Cen,,217.42875,-62.679444,14.49525,,,0.0
516,Laniakea attractor,,218.0,-43.233333,14.533333333333333,,,0.0
492,SST24 J143644.2+350627,,219.184167,35.1075,14.6122778,,,0.0
424,SGAS J143845.1+145407,,219.687917,14.901944,14.645861133333334,,,0.0
703,EK Dra,,219.750833,64.291667,14.650055533333333,,,0.0
321,alpha Cen,,219.87375,-60.832222,14.65825,,,0.0
744,WJN J1443+3439,,220.841667,34.65,14.7227778,,,0.0
100,136108 Haumea,136108 Haumea (2003 EL61),221.17,13.96695,14.744666666666665,,,1.0
139,HD 130948BC,,222.566667,23.911667,14.8377778,,,0.0
754,USNO-B1.0 1084-0241525,,224.4025,18.417222,14.960166666666668,,,0.0
227,TVLM 513-46546,,225.284167,22.833889,15.018944466666666,,,0.0
140,2MASSI J1506544+132106,,226.72625,13.351667,15.115083333333333,,,0.0
722,UMi dSph,,227.297083,67.214444,15.153138866666666,,,0.0
593,PSR B1508+55,,227.357083,55.525833,15.157138866666665,,,0.0
623,IC 1101,,227.73375,5.744722,15.18225,,,0.0
437,cB 58,,228.592917,36.607222,15.2395278,,,0.0
681,HD 135485,,228.93875,-14.693056,15.262583333333334,,,0.0
598,NGC 5907 ULX,,228.994167,56.302778,15.266277800000001,,,0.0
446,Hoag's object,,229.31,21.585556,15.287333333333333,,,0.0
643,RGG 118,,230.765833,11.7625,15.384388866666665,,,0.0
360,Arp 220,,233.738333,23.503333,15.582555533333334,,,0.0
697,HD 139139,,234.275833,-19.1425,15.618388866666667,,,0.0
736,3FGL J1539.2-3324,,234.798333,-33.368333,15.6532222,,,0.0
602,ZTF J153932.16+502738.8,,234.884167,50.460833,15.658944466666666,,,0.0
584,4U 1538-522,,235.5975,-52.386111,15.7065,,,0.0
213,HD 140283,,235.762917,-10.933611,15.7175278,,,0.0
170,alpha Ser,,236.067083,6.425556,15.737805533333333,,,0.0
238,PG 1544+488,,236.54875,48.643611,15.769916666666667,,,0.0
233,R CrB,,237.143333,28.156667,15.809555533333334,,,0.0
813,SSSPM J1549-3544,,237.1675,-35.740556,15.811166666666667,,,0.0
204,epsilon Ser,,237.704167,4.477778,15.846944466666667,,,0.0
163,kappa CrB,,237.807917,35.6575,15.853861133333334,,,0.0
126,NN Ser,,238.23375,12.912222,15.882249999999999,,,0.0
462,NGC 6012,,238.557917,14.601111,15.903861133333333,,,0.0
656,Seyfert's sextet,,239.798333,20.756944,15.986555533333334,,,0.0
224,SDSS J160043.6+074802.9,,240.181667,7.800833,16.012111133333335,,,0.0
572,14 Her,,242.60125,43.8175,16.173416666666665,,,0.0
295,4U 1608-52,,243.179167,-52.423056,16.21194446666667,,,0.0
451,ESO 137-001,,243.36375,-60.764167,16.22425,,,0.0
758,AT 2018cow,,244.00125,22.268056,16.26675,,,0.0
687,1E 1613-5055,,244.3875,-51.033333,16.2925,,,0.0
294,Sco X-1,,244.979583,-15.640278,16.3319722,,,0.0
122,HD 147506,,245.151667,41.048056,16.343444466666668,,,0.0
291,AR Sco,,245.447083,-22.886111,16.363138866666667,,,0.0
577,U Sco,,245.628333,-17.878611,16.3752222,,,0.0
124,PSR B1620-26,,245.909167,-26.531667,16.393944466666667,,,0.0
70,EPIC 203937317,,246.57125,-24.339444,16.43808333333333,,,0.0
129,Elias 29,,246.789167,-24.621944,16.45261113333333,,,0.0
799,IRAS 16329+8252,,246.84375,82.762778,16.45625,,,0.0
390,NGC 6166,,247.159167,39.551111,16.4772778,,,0.0
128,IRAS 16293-2422,,248.094167,-24.475556,16.539611133333334,,,0.0
236,HD 149382,,248.597083,-4.014444,16.573138866666667,,,0.0
786,HR 6171,,249.089167,-2.324722,16.605944466666667,,,0.0
349,zeta Oph cloud,,249.2875,-10.566667,16.619166666666665,,,0.0
240,zeta Oph,,249.289583,-10.567222,16.619305533333332,,,0.0
